target,model,calibration,roc_auc,brier,ece
recurrence,lightgbm,frozen_sigmoid,0.5992999299929992,0.1720919483060097,0.057938124553761176
recurrence,lightgbm,nonnegative_sigmoid,0.6231323132313231,0.17170323130923243,0.05792755292696066
recurrence,lightgbm,raw,0.6469646964696469,0.17894756528226008,0.12328507293617083
recurrence,logistic,frozen_sigmoid,0.6563656365636563,0.1755302302845419,0.048726849722191434
recurrence,logistic,nonnegative_sigmoid,0.6563656365636563,0.17553242659535445,0.04873058467515068
recurrence,logistic,raw,0.6564056405640564,0.1836280599953603,0.0753061046049228
recurrence,rf,frozen_sigmoid,0.7105510551055106,0.16424920186674702,0.06586029863749009
recurrence,rf,nonnegative_sigmoid,0.7105510551055106,0.16424731895910222,0.0658530135764711
recurrence,rf,raw,0.7105510551055106,0.16105340898711765,0.08352296955727674
recurrence,rf_smote,frozen_sigmoid,0.6690569056905691,0.1700682479587372,0.06808943817359045
recurrence,rf_smote,nonnegative_sigmoid,0.6776877687768776,0.16979704741338866,0.06484034167375509
recurrence,rf_smote,raw,0.6863186318631863,0.17251085586729503,0.10155131120806415
recurrence,tabpfn,frozen_sigmoid,0.6761276127612761,0.15708066357261002,0.06719290801568059
recurrence,tabpfn,nonnegative_sigmoid,0.7032303230323033,0.15664310224284844,0.061992585278403525
recurrence,tabpfn,raw,0.7303330333033303,0.1501614372504872,0.07371273515606995
recurrence,xgboost,frozen_sigmoid,0.6226822682268227,0.1738879097310834,0.054908786675021956
recurrence,xgboost,nonnegative_sigmoid,0.6365536553655367,0.17365465627940369,0.055131164132104914
recurrence,xgboost,raw,0.6504250425042505,0.17713479626940687,0.10447623207921913
survival_status,lightgbm,frozen_sigmoid,0.6311071428571429,0.14446155017602982,0.04431394313223066
survival_status,lightgbm,nonnegative_sigmoid,0.6456309523809524,0.14442885101940556,0.044014205637112745
survival_status,lightgbm,raw,0.660154761904762,0.15857356769684103,0.12136379964940432
survival_status,logistic,frozen_sigmoid,0.6922619047619047,0.1409204035565322,0.05181782955557681
survival_status,logistic,nonnegative_sigmoid,0.6922619047619047,0.14092024604341133,0.051819516791975904
survival_status,logistic,raw,0.6923095238095238,0.15117029203223253,0.0910428065254177
survival_status,rf,frozen_sigmoid,0.7356904761904761,0.13433733836129988,0.06170689977389458
survival_status,rf,nonnegative_sigmoid,0.7356904761904761,0.1343387110800699,0.06143856705254675
survival_status,rf,raw,0.7356904761904761,0.1321781137519679,0.05500866487326433
survival_status,rf_smote,frozen_sigmoid,0.6827500000000001,0.14228269618830308,0.04491363567959639
survival_status,rf_smote,nonnegative_sigmoid,0.6827500000000001,0.1422821651392833,0.04491769031129418
survival_status,rf_smote,raw,0.6827500000000001,0.15539411241682458,0.12437008246044669
survival_status,tabpfn,frozen_sigmoid,0.7123333333333334,0.1399991220983749,0.0670730580823278
survival_status,tabpfn,nonnegative_sigmoid,0.7123333333333334,0.13999403924253043,0.06714117218251191
survival_status,tabpfn,raw,0.7123333333333334,0.13845223908948276,0.05678747939149829
survival_status,xgboost,frozen_sigmoid,0.6589047619047619,0.1452425443046642,0.0447379412022864
survival_status,xgboost,nonnegative_sigmoid,0.6589047619047619,0.1452434541033897,0.044735792770870225
survival_status,xgboost,raw,0.6589047619047619,0.15453903506134153,0.09680607408685088
