modality,repeat,auc_drop,brier_increase
Clinical,0,0.09090909090909094,0.06567055452273804
Clinical,1,0.13351335133513353,0.0789607498887809
Clinical,2,0.12121212121212133,0.07105339748514972
Pathology,0,0.09660966096609669,0.021251808631394725
Pathology,1,0.13411341134113408,0.027444279957505813
Pathology,2,0.11611161116111612,0.022747466243774522
