target,split,model,repeats,published_rf_auc,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,brier_mean,brier_std,ece_mean,ece_std
survival_status,in,random_forest,5,0.79,0.7909285714285715,0.004725095831011754,0.47082587457461117,0.011755928487197554,0.13637847656395818,0.0006976653775914919,0.11733804734195244,0.008382098916679638
survival_status,in,random_forest_native,5,0.79,0.8254999999999999,0.007352633847118751,0.5982147991912894,0.004150350680419162,0.12334015613154861,0.0005732562783215835,0.0835077581421012,0.010925214697413844
survival_status,in,tabpfn_native,5,0.79,0.8358571428571429,0.001508479434424513,0.58485176957193,0.0064754501419088005,0.11571540838931933,0.0005399386756334048,0.06472324245765697,0.0041298843050060745
survival_status,out,random_forest,5,0.78,0.7797288359788359,0.003403675883248916,0.4506562479536257,0.01546828638056115,0.13619396069597461,0.0005120260041224581,0.08356684156199848,0.019841411593846614
survival_status,out,random_forest_native,5,0.78,0.774074074074074,0.005060280228409672,0.5488171929377429,0.008779252097668456,0.13703638555226136,0.0009445742094582191,0.10413029569082048,0.0045675283307835355
survival_status,out,tabpfn_native,5,0.78,0.789616402116402,0.0014092113593030596,0.5636589952524925,0.004161859385145437,0.1289280068464685,0.0006086964201025993,0.0717753250661085,0.005722864626856369
survival_status,Oropharynx,random_forest,5,0.71,0.7106507508663842,0.01010083114865671,0.3362598990788335,0.013166077177797296,0.15205578845100895,0.0008109910012497693,0.13073105277777874,0.002438159211415493
survival_status,Oropharynx,random_forest_native,5,0.71,0.7089410858683096,0.0030906071417754533,0.4114388994426498,0.007727473236603392,0.13172448088413136,0.0004705995684573614,0.06406453801326717,0.0048495251965332
survival_status,Oropharynx,tabpfn_native,5,0.71,0.7681940700808625,0.002513469530795456,0.45711425790042337,0.006181689229916301,0.13071032487670978,0.0004077911125964711,0.1066574448607112,0.00410023695693165
recurrence,in,random_forest,5,0.79,0.7889888988898891,0.006366435886417504,0.677563730544217,0.009073222194146614,0.15072528801305968,0.0012050690916949275,0.13755410447761193,0.014317631318741803
recurrence,in,random_forest_native,5,0.79,0.7825982598259825,0.0019173771747579085,0.7220951701138711,0.00231822015140773,0.14362181974720625,0.000360893046350164,0.14537133972992183,0.0079283963031082
recurrence,in,tabpfn_native,5,0.79,0.7892589258925894,0.0017658492612736343,0.7121733231323508,0.0036280725214486343,0.12357669447236777,0.0008527978834595043,0.06419891943015268,0.005722415670957069
recurrence,out,random_forest,5,0.71,0.7149272612270716,0.004641959046656212,0.5080098033922242,0.006399983668458973,0.1598515427604419,0.0005959493558224096,0.09439671537405374,0.008524261443702181
recurrence,out,random_forest_native,5,0.71,0.7400063251106894,0.005071342639916899,0.5612962215886173,0.006328044849439164,0.15254404370300753,0.0006801852460524488,0.08293796992481203,0.007930389866941412
recurrence,out,tabpfn_native,5,0.71,0.7265022137887414,0.001419983827997713,0.49123712647751894,0.00232288869236786,0.14984314165294157,0.000409768378037738,0.06714065315804087,0.009415000917231454
recurrence,Oropharynx,random_forest,5,0.69,0.6871659324522761,0.00688791717137439,0.43955915454951056,0.012883242663075395,0.1580436273297591,0.0018964458460742819,0.11027581584509742,0.004503864119370741
recurrence,Oropharynx,random_forest_native,5,0.69,0.6923788546255507,0.005323565725599339,0.44136597988989834,0.00810371538064311,0.15350988135156898,0.0009411295748572492,0.08468571381145598,0.0014642341467160952
recurrence,Oropharynx,tabpfn_native,5,0.69,0.6796035242290748,0.0015270247308494143,0.4658728264538988,0.0034031188170551775,0.14990998458052698,0.0012185902283787537,0.07664022807564054,0.006527676973682978
