target,split,candidate,reference,auc_difference,ci_low,ci_high,bootstrap_samples,bootstrap_seed
survival_status,in,tabpfn_native,random_forest_native,0.01035714285714286,-0.03707321428571427,0.06100357142857141,2000,20260921
survival_status,in,random_forest_native,random_forest,0.03457142857142857,-0.01842857142857141,0.09657142857142856,2000,20260921
survival_status,out,tabpfn_native,random_forest_native,0.015542328042328047,-0.03473710317460317,0.06714781746031735,2000,20260921
survival_status,out,random_forest_native,random_forest,-0.005654761904761912,-0.06567791005291003,0.05509341931216929,2000,20260921
survival_status,Oropharynx,tabpfn_native,random_forest_native,0.05925298421255294,0.011231420870234893,0.1057152483634963,2000,20260921
survival_status,Oropharynx,random_forest_native,random_forest,-0.0017096649980747006,-0.05975471698113211,0.05497574123989214,2000,20260921
recurrence,in,tabpfn_native,random_forest_native,0.006660666066606661,-0.045966096609660986,0.06111836183618364,2000,20260921
recurrence,in,random_forest_native,random_forest,-0.00639063906390639,-0.05341584158415843,0.04392514251425144,2000,20260921
recurrence,out,tabpfn_native,random_forest_native,-0.01350411132194813,-0.06372549019607843,0.03545857052498414,2000,20260921
recurrence,out,random_forest_native,random_forest,0.025079063883617962,-0.016856419987349783,0.07109424414927261,2000,20260921
recurrence,Oropharynx,tabpfn_native,random_forest_native,-0.01277533039647577,-0.06664096916299561,0.038152533039647586,2000,20260921
recurrence,Oropharynx,random_forest_native,random_forest,0.005212922173274592,-0.0572949706314244,0.06886251835535971,2000,20260921
