target,config,fold,n_train,n_validation,roc_auc,average_precision,brier,ece,seconds
recurrence,native_clinical_pathology,0,355,178,0.7269876406567053,0.6093650637150236,0.12770430332765248,0.06281194362914962,4.525413624942303
recurrence,native_clinical_pathology,1,355,178,0.7365799667957942,0.5590361001645009,0.13351920691090333,0.06041778377100322,5.401054375339299
recurrence,native_clinical_pathology,2,356,177,0.7915273132664437,0.5994328220006946,0.12202932550243877,0.06191355149961462,3.3912627091631293
recurrence,native_clinical_pathology_blood,0,355,178,0.7089097952407306,0.5996572955508318,0.13331652013340223,0.06751721369081669,3.388711375184357
recurrence,native_clinical_pathology_blood,1,355,178,0.7375023058476295,0.539095084058607,0.134476603399145,0.07112104144324077,5.42651170771569
recurrence,native_clinical_pathology_blood,2,356,177,0.8082497212931995,0.6121662027415838,0.1222174267884364,0.06446071928840573,3.575914707966149
recurrence,native_default,0,355,178,0.7002398081534773,0.5900244234080709,0.13370926153913404,0.06432849547585075,5.460147750098258
recurrence,native_default,1,355,178,0.7168419110865155,0.5521446230679719,0.1360087060683433,0.042381802050585164,5.396350665949285
recurrence,native_default,2,356,177,0.7920847268673357,0.5995337294255716,0.12275999694805119,0.07501633381102718,5.569269500207156
recurrence,native_thinking,0,355,178,0.703929164360819,0.5998277790552241,0.13132086256680214,0.05880675011764416,14.577472541015595
recurrence,native_thinking,1,355,178,0.7054049068437558,0.5263828400653205,0.13701358050628362,0.06149016596962897,25.334614291321486
recurrence,native_thinking,2,356,177,0.8013749535488666,0.6026491592136847,0.1227083723745426,0.05009733321471402,10.764695915859193
recurrence,paper_default,0,355,178,0.6808706880649327,0.5868281088763962,0.1352878499142803,0.08898854237886963,5.594224500004202
recurrence,paper_default,1,355,178,0.707987456188895,0.5477379253367429,0.13574607286627935,0.09197915437516202,5.591435167007148
recurrence,paper_default,2,356,177,0.7998885172798217,0.6181019419460014,0.12302451160734043,0.06531013864076744,3.4764738329686224
recurrence,paper_thinking,0,355,178,0.6934144991698948,0.5947227238375955,0.13278285135646054,0.0718850748446048,22.85511629190296
recurrence,paper_thinking,1,355,178,0.714074893931009,0.5439081229907994,0.13697220436056204,0.07241170208775595,14.056060208939016
recurrence,paper_thinking,2,356,177,0.8030471943515421,0.6019381123363187,0.12259849947054051,0.04649207799953256,14.368647125083953
survival_status,native_clinical_pathology,0,358,179,0.8125778331257784,0.5555163857147949,0.12045908459346036,0.06154884903707318,3.3673753747716546
survival_status,native_clinical_pathology,1,358,179,0.767538397675384,0.4694605902802096,0.12748235863042978,0.04552552414090274,3.4104712498374283
survival_status,native_clinical_pathology,2,358,179,0.7484433374844334,0.4384768821797756,0.13565013192212852,0.039939123835393844,5.352334124967456
survival_status,native_clinical_pathology_blood,0,358,179,0.854711498547115,0.6404939494480631,0.11589000792747366,0.08872865309012669,4.693126917351037
survival_status,native_clinical_pathology_blood,1,358,179,0.7438771274387713,0.46546316448624014,0.12811635889203607,0.036558280641722944,3.552066583186388
survival_status,native_clinical_pathology_blood,2,358,179,0.6967621419676214,0.4045159013450818,0.13956620827758753,0.05157933044949723,5.3779304581694305
survival_status,native_default,0,358,179,0.8439186384391864,0.6286013318267109,0.11658890431427939,0.05807036862776267,5.451384124811739
survival_status,native_default,1,358,179,0.7552926525529265,0.45975261077550345,0.12817949949440735,0.03834544842303133,5.6241527502425015
survival_status,native_default,2,358,179,0.6911581569115816,0.40799190375845745,0.14076559305799644,0.06777646649608066,3.53390424977988
survival_status,native_thinking,0,358,179,0.8432959734329597,0.6196992308583898,0.11647426941410761,0.05218330350335084,13.819261250086129
survival_status,native_thinking,1,358,179,0.7586135325861354,0.4660375244319252,0.12729323703911347,0.02229092290947557,14.918418667279184
survival_status,native_thinking,2,358,179,0.6824408468244085,0.3951204309191545,0.14155854977078003,0.0662946842933417,25.252666958142072
survival_status,paper_default,0,358,179,0.839975093399751,0.6249967944593318,0.11970418503273154,0.0676255325615073,6.44614754198119
survival_status,paper_default,1,358,179,0.7588210875882109,0.46272671663902404,0.1285455121077553,0.05893335639181751,3.902691666968167
survival_status,paper_default,2,358,179,0.6870070568700706,0.3876982390727155,0.14101565218023543,0.06985919151517599,5.569220290984958
survival_status,paper_thinking,0,358,179,0.8493150684931506,0.6379838325255627,0.11966687508553686,0.056269174785087896,21.085177208762616
survival_status,paper_thinking,1,358,179,0.7563304275633043,0.4615003462980741,0.12905417938496286,0.04811597863139386,46.87190179200843
survival_status,paper_thinking,2,358,179,0.6778746367787464,0.3880044395683835,0.14272468489401718,0.0762483738050614,14.080797541886568
