target,config,roc_auc_mean,roc_auc_std,roc_auc_count,average_precision_mean,average_precision_std,average_precision_count,brier_mean,brier_std,brier_count,ece_mean,ece_std,ece_count
recurrence,native_clinical_pathology,0.7516983069063143,0.034824782711685036,3,0.5892779952934064,0.02665692259261657,3,0.12775094524699818,0.005745082705812436,3,0.061714426299922485,0.0012094372618925771,3
recurrence,native_clinical_pathology_blood,0.7515539407938533,0.05113894367821797,3,0.5836395274503409,0.039080350146669,3,0.1300035167736612,0.006767853887265725,3,0.06769965814082106,0.0033339072099489663,3
recurrence,native_default,0.7363888153691095,0.048943164728728755,3,0.5805675919672048,0.02507001388150177,3,0.13082598818517618,0.007079337699514022,3,0.06057554377915436,0.01663780786744837,3
recurrence,native_thinking,0.7369030082511472,0.05583921786543115,3,0.5762865927780765,0.04324093486051796,3,0.13034760514920946,0.0072020946552917315,3,0.05679808310066239,0.00595610753212185,3
recurrence,paper_default,0.7295822205112165,0.06237837207204575,3,0.5842226587197136,0.035254290323820436,3,0.13135281146263336,0.007216157282667062,3,0.08209261179826637,0.014610766372429643,3
recurrence,paper_thinking,0.7368455291508154,0.05825554337943394,3,0.5801896530549046,0.03162716436295389,3,0.13078451839585437,0.00739228307307296,3,0.06359628497729776,0.014815017931713123,3
survival_status,native_clinical_pathology,0.7761865227618653,0.032930243446199985,3,0.4878179527249267,0.06064079413955576,3,0.12786385838200623,0.007602705852576346,3,0.04900449900445659,0.011217063136086619,3
survival_status,native_clinical_pathology_blood,0.7651169226511693,0.0810885102000737,3,0.5034910050931284,0.12249896853663882,3,0.12785752503236578,0.011840222209902444,3,0.05895542139378229,0.026855948662541488,3
survival_status,native_default,0.7634564826345649,0.07670676156857247,3,0.4987819487868906,0.11536722609717107,3,0.1285113322888944,0.012091759772889406,3,0.05473076118229155,0.01499703102688741,3
survival_status,native_thinking,0.7614501176145012,0.08046507068306483,3,0.49361906206982314,0.11480185216010173,3,0.12844201874133368,0.012581536265597786,3,0.046922970235389376,0.022468557665092207,3
survival_status,paper_default,0.7619344126193441,0.07653152712770417,3,0.4918072500570238,0.12129265915565667,3,0.12975511644024076,0.010707101147166774,3,0.06547269348950026,0.00577230502816453,3
survival_status,paper_thinking,0.7611733776117338,0.08582275939681747,3,0.4958295394640067,0.12847682418778056,3,0.13048191312150562,0.011595019017140919,3,0.060211175740514385,0.014474544663003592,3
