target,model,size,roc_auc_mean,roc_auc_std,roc_auc_count,average_precision_mean,average_precision_std,average_precision_count,brier_mean,brier_std,brier_count,ece_mean,ece_std,ece_count
target_survival_5y,tabpfn,50,0.7015503875968992,0.03618147794558258,5,0.6890371474330432,0.06581644213516208,5,0.2220769014917474,0.013072167384582835,5,0.07662929952899113,0.023328290997481054,5
target_survival_5y,lightgbm,50,0.5726744186046512,0.04716591817590566,5,0.5414625890153507,0.051824939534662114,5,0.2739939230357534,0.01720919520849026,5,0.19802416776994272,0.020707615246735384,5
target_survival_5y,xgboost,50,0.5945736434108527,0.07790547690758498,5,0.5602845950058969,0.07844601045621784,5,0.318620885777665,0.05036323670835424,5,0.2779321317549182,0.05438102470160064,5
target_survival_5y,tabpfn,100,0.7205426356589146,0.03948925775798461,5,0.7295720268413828,0.05194515429339893,5,0.2132291298010925,0.012909892551934869,5,0.11677589454228365,0.03435193343602926,5
target_survival_5y,lightgbm,100,0.6091731266149871,0.04755197752781912,5,0.5567582733067141,0.050822755909066264,5,0.28182204264760913,0.014388703583508829,5,0.21298034140328884,0.007750810947594765,5
target_survival_5y,xgboost,100,0.6472868217054264,0.052989298730666504,5,0.5710558787869493,0.051172691459264404,5,0.28557184166857386,0.02871419610000084,5,0.2402164595304764,0.03505880901212201,5
target_survival_5y,tabpfn,200,0.7196382428940569,0.04656991036878182,5,0.7262801706990281,0.05473766527095728,5,0.2104733192633069,0.01610779859472688,5,0.11204069698158699,0.02568953160812513,5
target_survival_5y,lightgbm,200,0.6689922480620155,0.024804014492304797,5,0.6256674928292139,0.04610211688810259,5,0.26120518999137377,0.015955020735417137,5,0.20143775391289673,0.02064857462538615,5
target_survival_5y,xgboost,200,0.6830749354005168,0.029107784500643115,5,0.639812199573744,0.06646783188762899,5,0.26608538381272834,0.022595040287447656,5,0.22926826988268773,0.03421239061496428,5
target_survival_5y,tabpfn,Full,0.7489664082687338,0.0033752843611403174,5,0.7854787748456642,0.0035082321496250593,5,0.194778495880785,0.0007787291994444007,5,0.09959412281271776,0.010029284058461001,5
target_survival_5y,lightgbm,Full,0.7189922480620154,0.0,5,0.7200865944218293,0.0,5,0.22941006924995172,0.0,5,0.17845777848130392,0.0,5
target_survival_5y,xgboost,Full,0.665374677002584,0.0,5,0.6499023726358641,0.0,5,0.2889930336494976,0.0,5,0.24560824098858297,0.0,5
target_recurrence,tabpfn,50,0.6354406130268199,0.07575903266814338,5,0.44856176388554037,0.12583029486546293,5,0.18204237248936278,0.0353198240908785,5,0.10930076853225106,0.08130255254313255,5
target_recurrence,lightgbm,50,0.5524904214559386,0.08104536721926527,5,0.2934285206911526,0.03949959029191245,5,0.21089620557917135,0.03164616541196262,5,0.15050982069721217,0.058700980240047856,5
target_recurrence,xgboost,50,0.5523946360153257,0.024317879498348367,5,0.2858176995250932,0.030691578440311604,5,0.24536544660590015,0.021488439783366925,5,0.22087076502717345,0.026610901534302487,5
target_recurrence,tabpfn,100,0.6876436781609195,0.020470706732272408,5,0.5574385943585811,0.049423842689063725,5,0.15201200074838508,0.005947057793334147,5,0.09284222449519133,0.028412724157378118,5
target_recurrence,lightgbm,100,0.5490421455938697,0.05274519458572141,5,0.28919097659359194,0.0501991133859116,5,0.21933248740351524,0.015217202513829858,5,0.1811815493926827,0.024703334224288432,5
target_recurrence,xgboost,100,0.630507662835249,0.05004359594013871,5,0.3802200545494535,0.056552134760179326,5,0.20031259560666084,0.015619012168687543,5,0.16371504612857518,0.020853400621734738,5
target_recurrence,tabpfn,200,0.6958333333333333,0.03350411574949307,5,0.5779510727349061,0.03271752440284068,5,0.13909605671052747,0.001429109910197227,5,0.06000800200394894,0.013841677773453055,5
target_recurrence,lightgbm,200,0.5648467432950192,0.038451024762993675,5,0.3213209363957127,0.07390035149561026,5,0.2114111208279116,0.014843469322231129,5,0.1812789763657397,0.024111669225304055,5
target_recurrence,xgboost,200,0.6649425287356322,0.023669617347291685,5,0.4901057630777201,0.044318916539380034,5,0.17720233804501903,0.011519499786576565,5,0.14410803481468495,0.023100247932759544,5
target_recurrence,tabpfn,500,0.705124521072797,0.00972204527706411,5,0.5734026919308528,0.013596474449852257,5,0.1368248453397541,0.0018267402218399827,5,0.05388324927342565,0.014484458827677793,5
target_recurrence,lightgbm,500,0.6455459770114943,0.01651552527321726,5,0.5507241109515812,0.01376856470470298,5,0.15235261745069478,0.003804124916476918,5,0.12777659380511583,0.009294254787257199,5
target_recurrence,xgboost,500,0.6760057471264368,0.019686325838962498,5,0.5625139384804536,0.027917582348573475,5,0.15333299457202332,0.007667833381013413,5,0.12577626055013083,0.012302399443368276,5
target_recurrence,tabpfn,Full,0.7173850574712644,0.0015739153951298572,5,0.5716373531148098,0.004063484444516726,5,0.13525843180657549,0.0003980815072630953,5,0.054948421234363,0.0051034761206391185,5
target_recurrence,lightgbm,Full,0.701388888888889,0.0,5,0.6209628566684843,0.0,5,0.13707319491955244,0.0,5,0.12518963945677508,0.0,5
target_recurrence,xgboost,Full,0.684147509578544,0.0,5,0.5689182344626182,0.0,5,0.14870747245100918,0.0,5,0.12084112591439503,0.0,5
