target,size,model_a,model_b,metric,mean_difference,repetitions,std_difference
target_survival_5y,200,tabpfn,xgboost,roc_auc,0.03656330749354,5,0.05779867060413257
target_survival_5y,200,tabpfn,xgboost,average_precision,0.08646797112528404,5,0.07742945381760147
target_survival_5y,200,tabpfn,xgboost,brier,-0.05561206454942147,5,0.032049629899267316
target_survival_5y,200,tabpfn,xgboost,ece,-0.11722757290110075,5,0.02758488072479472
target_survival_5y,50,tabpfn,xgboost,roc_auc,0.10697674418604655,5,0.0707424808336703
target_survival_5y,50,tabpfn,xgboost,average_precision,0.12875255242714645,5,0.06234506209857025
target_survival_5y,50,tabpfn,xgboost,brier,-0.09654398428591755,5,0.04607027100351089
target_survival_5y,50,tabpfn,xgboost,ece,-0.20130283222592707,5,0.05533981310598396
target_survival_5y,Full,tabpfn,xgboost,roc_auc,0.08359173126614983,5,0.003375284361140333
target_survival_5y,Full,tabpfn,xgboost,average_precision,0.1355764022098,5,0.003508232149625072
target_survival_5y,Full,tabpfn,xgboost,brier,-0.09421453776871258,5,0.0007787291994443958
target_survival_5y,Full,tabpfn,xgboost,ece,-0.14601411817586518,5,0.010029284058461005
target_recurrence,100,lightgbm,xgboost,roc_auc,-0.08146551724137929,5,0.06966650155866859
target_recurrence,100,lightgbm,xgboost,average_precision,-0.09102907795586156,5,0.03599339227455128
target_recurrence,100,lightgbm,xgboost,brier,0.0190198917968544,5,0.011420540663512231
target_recurrence,100,lightgbm,xgboost,ece,0.0174665032641075,5,0.01704803489114354
target_recurrence,200,lightgbm,xgboost,roc_auc,-0.10009578544061301,5,0.03916200068437254
target_recurrence,200,lightgbm,xgboost,average_precision,-0.1687848266820074,5,0.06961489490197185
target_recurrence,200,lightgbm,xgboost,brier,0.03420878278289256,5,0.018784558923997198
target_recurrence,200,lightgbm,xgboost,ece,0.03717094155105473,5,0.019281506252382365
target_recurrence,50,lightgbm,xgboost,roc_auc,9.578544061301652e-05,5,0.08461199082501236
target_recurrence,50,lightgbm,xgboost,average_precision,0.0076108211660594225,5,0.059676800310278354
target_recurrence,50,lightgbm,xgboost,brier,-0.03446924102672879,5,0.03153909027374614
target_recurrence,50,lightgbm,xgboost,ece,-0.07036094432996129,5,0.06021421839431388
target_recurrence,500,lightgbm,xgboost,roc_auc,-0.030459770114942542,5,0.021770389215549194
target_recurrence,500,lightgbm,xgboost,average_precision,-0.011789827528872388,5,0.03189224836929408
target_recurrence,500,lightgbm,xgboost,brier,-0.0009803771213285461,5,0.007777516775095007
target_recurrence,500,lightgbm,xgboost,ece,0.0020003332549850122,5,0.008388914368401746
target_recurrence,Full,lightgbm,xgboost,roc_auc,0.017241379310344973,5,0.0
target_recurrence,Full,lightgbm,xgboost,average_precision,0.05204462220586603,5,0.0
target_recurrence,Full,lightgbm,xgboost,brier,-0.011634277531456738,5,0.0
target_recurrence,Full,lightgbm,xgboost,ece,0.004348513542380056,5,0.0
target_survival_5y,100,lightgbm,xgboost,roc_auc,-0.03811369509043929,5,0.022752411195550843
target_survival_5y,100,lightgbm,xgboost,average_precision,-0.014297605480235264,5,0.023498023520598488
target_survival_5y,100,lightgbm,xgboost,brier,-0.003749799020964706,5,0.019599429611761875
target_survival_5y,100,lightgbm,xgboost,ece,-0.027236118127187597,5,0.029920373782484234
