target,split,model,repeats,n_train,n_test,published_rf_auc,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,brier_mean,brier_std,ece_mean,ece_std
survival_status,in,random_forest,5,537,137,0.79,0.7909285714285715,0.004725095831011754,0.47082587457461117,0.011755928487197554,0.13637847656395818,0.0006976653775914919,0.11733804734195244,0.008382098916679638
survival_status,in,tabpfn_smote,5,537,137,0.79,0.6942857142857143,0.018859036701436346,0.3326579773409326,0.027542208908655667,0.16885771651156287,0.0024443104997723536,0.15713425736889639,0.005761071464438706
survival_status,in,tabpfn_native,5,537,137,0.79,0.8358571428571429,0.001508479434424513,0.58485176957193,0.0064754501419088005,0.11571540838931933,0.0005399386756334048,0.06472324245765697,0.0041298843050060745
survival_status,out,random_forest,5,535,139,0.78,0.7797288359788359,0.003403675883248916,0.4506562479536257,0.01546828638056115,0.13619396069597461,0.0005120260041224581,0.08356684156199848,0.019841411593846614
survival_status,out,tabpfn_smote,5,535,139,0.78,0.740079365079365,0.00800510478631626,0.3844766385213422,0.009723706250063347,0.17455331152978057,0.0043280435012781945,0.16667585407114477,0.008969592667345346
survival_status,out,tabpfn_native,5,535,139,0.78,0.789616402116402,0.0014092113593030596,0.5636589952524925,0.004161859385145437,0.1289280068464685,0.0006086964201025993,0.0717753250661085,0.005722864626856369
survival_status,Oropharynx,random_forest,5,376,298,0.71,0.7106507508663842,0.01010083114865671,0.3362598990788335,0.013166077177797296,0.15205578845100895,0.0008109910012497693,0.13073105277777874,0.002438159211415493
survival_status,Oropharynx,tabpfn_smote,5,376,298,0.71,0.6910743165190605,0.005092020878474253,0.346182587359781,0.03154462475229693,0.16227752853881988,0.0023256343494334228,0.14773973309018512,0.006634249470629023
survival_status,Oropharynx,tabpfn_native,5,376,298,0.71,0.7681940700808625,0.002513469530795456,0.45711425790042337,0.006181689229916301,0.13071032487670978,0.0004077911125964711,0.1066574448607112,0.00410023695693165
recurrence,in,random_forest,5,533,134,0.79,0.7889888988898891,0.006366435886417504,0.677563730544217,0.009073222194146614,0.15072528801305968,0.0012050690916949275,0.13755410447761193,0.014317631318741803
recurrence,in,tabpfn_smote,5,533,134,0.79,0.7186318631863187,0.008791237478217728,0.6216002792487791,0.011679208255808402,0.16188700422764057,0.006315302586485745,0.14462779835961176,0.014568532213340523
recurrence,in,tabpfn_native,5,533,134,0.79,0.7892589258925894,0.0017658492612736343,0.7121733231323508,0.0036280725214486343,0.12357669447236777,0.0008527978834595043,0.06419891943015268,0.005722415670957069
recurrence,out,random_forest,5,534,133,0.71,0.7149272612270716,0.004641959046656212,0.5080098033922242,0.006399983668458973,0.1598515427604419,0.0005959493558224096,0.09439671537405374,0.008524261443702181
recurrence,out,tabpfn_smote,5,534,133,0.71,0.6770398481973434,0.007455585883054854,0.5253192847646331,0.007522373791516148,0.16441195317549118,0.002200349603437801,0.12709006979515342,0.007174612071274841
recurrence,out,tabpfn_native,5,534,133,0.71,0.7265022137887414,0.001419983827997713,0.49123712647751894,0.00232288869236786,0.14984314165294157,0.000409768378037738,0.06714065315804087,0.009415000917231454
recurrence,Oropharynx,random_forest,5,380,287,0.69,0.6871659324522761,0.00688791717137439,0.43955915454951056,0.012883242663075395,0.1580436273297591,0.0018964458460742819,0.11027581584509742,0.004503864119370741
recurrence,Oropharynx,tabpfn_smote,5,380,287,0.69,0.6259765051395008,0.004225759428079144,0.38547744712110954,0.01133521282208853,0.16682235457858877,0.002642363531830557,0.1246064013402377,0.0053575915898800746
recurrence,Oropharynx,tabpfn_native,5,380,287,0.69,0.6796035242290748,0.0015270247308494143,0.4658728264538988,0.0034031188170551775,0.14990998458052698,0.0012185902283787537,0.07664022807564054,0.006527676973682978
