modality,repeat,auc_drop,brier_increase
Clinical,0,0.09214285714285708,0.02172408819808669
Clinical,1,0.16678571428571431,0.03630032363603225
Clinical,2,0.1657142857142857,0.027807130356203552
Pathology,0,0.1499999999999999,0.016693837866740113
Pathology,1,0.10857142857142854,0.00521219359413988
Pathology,2,0.0803571428571428,0.008618270358810548
